lemma_id	lemma	dcs_grammar	raw	declined	presind	acc_rate	gloss
65008	yoga	m	4779	3411	0		the act of yoking; joining; attaching; harnessing; putting to (of horses); a yoke; team; vehicle; conveyance; employment; use; application; performance; equipping or arraying (of an army); fixing (of an arrow on the bow-string); putting on (of armour); a remedy; cure; a means; expedient; device; way; manner; method; a supernatural means; charm; incantation; magical art; a trick; stratagem; fraud; deceit; undertaking; business; work; acquisition; gain; profit; wealth; property; occasion; opportunity; any junction; union; combination; contact with (instr. with or without saha); mixture; partaking of; possessing (instr. or comp.); connection; relation; putting together; arrangement; disposition; regular succession; fitting together; fitness; propriety; exertion; endeavour; zeal; diligence; industry; care; application or concentration of the thoughts; abstract contemplation; meditation; self-concentration; abstract meditation and mental abstraction practised as a system; any simple act or rite conducive to Yoga or abstract meditation; Yoga personified (as the son of Dharma and Kriyā); a follower of the Yoga system; (in Sāṃkhya) the union of soul with matter (one of the 10 Mūlikārthās or radical facts); the leading or principal star of a lunar asterism; name of a variable division of time (during which the joint motion in longitude of the sun and moon amounts to 13 degrees 20 minutes); (in arithm.) addition; sum; total; (in gram.) the connection of words together [v.a. inhaltliche Verbindung weit auseinander stehender W￶rter]; syntactical dependence of a word; construction; a combined or concentrated grammatical rule or aphorism; the connection of a word with its root; original or etymological meaning (as opp. to rūḍhi); a violator of confidence; spy; a Yoga formula
156131	iṣ	1. P.	4754	1328	2141	0.86	to seek for; to desire; to intend; to assent; to concede; to choose
157390	paś	4. Ā.	4732	419	1189	0.91	to see; to see with the spiritual eye; to compose; to consider; to examine; to foresee
90071	doṣa	mn	4705	2832	0		fault; vice; deficiency; want; inconvenience; disadvantage; badness; wickedness; sinfulness; offence; transgression; guilt; crime; damage; harm; bad consequence; detrimental effect; accusation; reproach; alteration; affection; morbid element; disease (esp. of the 3 humours of the body); a calf; [alchemy] a kind of flaw in mercury
157294	man	1. Ā.	4697	1676	1653	0.82	to think; to believe; to imagine; to suppose; to conjecture; to regard or consider any one or anything (acc.) as; to be of opinion; to honour; to perceive; to understand
163231	catur	nr	4670	2974	0		four
25207	bhūta	mn	4653	3068	0		that which is or exists; any living being; a spirit (good or evil); the ghost of a deceased person; a demon; imp; goblin; an element; one of the 5 elements (esp. a gross element); name of the number "five"; well-being; welfare; prosperity; existence
159723	āgam	6.P.,1.P.,1.Ā.	4640	2373	252	0.67	to come; to make one's appearance; to come near from (abl.) or to (acc. or loc.); to arrive at; to attain; to reach; to return; to fall into (any state of mind); to have recourse to; to meet with (instr.); to record; to hand down by tradition; to seek; to hunt for
20377	anna	n	4639	3321	0		food or victuals; especially boiled rice; bread corn; food in a mystical sense (or the lowest form in which the supreme soul is manifested); water; Viṣṇu; earth
157327	dhā	1. P.	4571	487	1750	0.98	to put; to place; to hold; to put on (clothes); to accept; to conceive; to take; verleihen; erlangen; to establish someone in
137432	muni	m	4550	3254	0		impulse; eagerness (?); any one who is moved by inward impulse; an inspired or ecstatic person; enthusiast; a saint; sage; seer; ascetic; monk; devotee; hermit (esp. one who has taken the vow of silence); a Brāhman of the heighest order; name of various men; Agati Grandiflora; name of the seven stars of Ursa Maior; Butea Frondosa; Terminalia Catappa; the mango tree; Buchanania latifolia; Sesbania grandiflora Linn.
16405	parama	adj	4512	2524	0		remotest; extreme; last; chief; highest; primary; most prominent or conspicuous; best; most excellent; worst; (with abl.) superior or inferior to; better or worse than
163749	pati	m	4489	4109	0		husband; master; lord; ruler; [medic.] = adhipa; a marman on the top of the head; [gramm.] the word pati; bridegroom
153185	priya	adj	4451	3445	0		beloved; dear to; liked; favourite; wanted; own
